"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightslicense","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea de Qualitat de Vida, Igualtat i Esports. Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","","","2013-07-02","2013","Presentada al Consell Plenari del Districte de Sants-Montjuïc de 02-07-2013","","","application/pdf","5 p.","18127","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84803","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Civisme","Societat i benestar","mesures de govern","","Servei d'actuació cívica a l'espai públic Districte Sants-Montjuïc : mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació","","Barcelona","","","2011-12-23","2011","Presentada al Plenari del Consell Municipal de 23-12-2011. Citada a la Gaseta Municipal núm. 4 (10-02-2011)","","","application/pdf","21 p.","13649","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84697","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Joves. Atur juvenil. Política laboral","Ocupació","mesures de govern","","Programa d'impuls a la contractació de joves en atur : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria d'Esports","","Barcelona","","","2005-11-18","2005","Presentada al Plenari del Consell Municipal de 18-11-2005. Citada a la Gaseta Municipal núm. 4 (30-01-2006)","","","application/pdf","2 p.","13479","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84546","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Museu Olímpic i de l'Esport (Barcelona). Museus de l'esport","Esport","mesures de govern","","Museu Olímpic i de l'Esport de Barcelona : mesura de govern","","text",""
"","Sector de Manteniment i Serveis","","Barcelona","","","1995-11-29","1995","Presentada al Plenari del Consell Municipal de 29-11-1995","","","application/pdf","1 p.","11245","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84429","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Municipis. Política ambiental. Desenvolupament sostenible","Energia","mesures de govern","","Creació de la Comissió de Política Mediambiental i de Sostenibilitat : mesura de govern","","text",""
"","Sector de Serveis Personals. Direcció d'Estrategies de Benestar Social","","Barcelona","","","1998-03-27","1998","Presentada al Plenari del Consell Municipal de 27-03-1998","","","application/pdf","1 p.","11328","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84449","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans","Societat i benestar","mesures de govern","","III Congrés de la Gent Gran de Barcelona : mesura de govern","Congrés de la Gent Gran de Barcelona (3r : 1999 : Barcelona)","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2013. 2014. 2015","","2013-03-14","2013","Presentada al Consell Plenari del Districte de Sarrià-Sant Gervasi de 14-03-2013","","","application/pdf","12 p.","18136","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84805","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Envelliment de la població. Persones grans. Política social","Societat i benestar","mesures de govern. plans estratègics","Programa d'Acció per a la Promoció de l'Envelliment Actiu de les Persones Grans del Districte del Sarrià-Sant Gervasi 2013-2015 (Barcelona)","Programa d'acció per a la promoció de l'envelliment actiu de les persones grans del Districte Sarrià-Sant Gervasi 2013-2015 : mesura de govern","","text",""
"","Districte 8. Nou Barris. Àrea de Drets Socials","","Barcelona. Districte 8. Nou Barris","","","2015-12-02","2015-12-02","Presentada al Consell Plenari del Districte de Nou Barris de 02-12-2015","","","application/pdf","16 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/86404","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Marginació social. Infants. Serveis socials. Intervenció social","Societat i benestar","mesures de govern","","Mesura de govern sobre suport a la infància en risc a Nou Barris","","text",""
"","Sector d'Urbanisme","","Barcelona","","","2001-12-21","2001","Presentada al Plenari del Consell Municipal de 21-12-2001. Citada a la Gaseta Municipal núm. 9 (20-03-2002)","","","application/pdf","27 p.","13141","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84511","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme","Urbanisme i infraestructures","mesures de govern","Pla Director del Portal del Coneixement 2001- (Barcelona)","Pla Director del Portal del Coneixement : mesura de govern","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","","","2009-12-15","2009","Presentada a la Comissió de Cultura, Educació i Benestar Social del Consell Municipal de 15-12-2009. Citada a la Gaseta Municipal núm. 5 (10-02-2010)","","","application/pdf","27 p.","11092","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84606","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social","Societat i benestar","mesures de govern","","Sessions informatives d'acollida : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","","","2012-02-29","2012","Presentada al Consell Plenari del Districte de Gràcia de 29-02-2012","","","application/pdf","5 p.","18192","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84808","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Teatre. Política cultural","Cultura i oci","mesures de govern","","Mesura de govern per fer de Gràcia un referent cultural envers al teatre","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","","","2008-12-09","2008","Presentada a la Comissió de Cultura, Educació i Benestar Social del Consell Municipal de 09-12-2008. Citada a la Gaseta Municipal núm. 5 (10-02-2009)","","","application/pdf","6 p.","11060","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84596","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació. Lleure. Associacions, institucions, etc.","Societat i benestar","mesures de govern","Pla de Suport a les Associacions Juvenils d'Educació en el Temps Lliure de la Ciutat 2008-2011 (Barcelona)","Pla de suport a les associacions juvenils d'educació en el temps lliure de la ciutat : mesura de govern","","text",""
"","Sector de Promoció Econòmica","","Barcelona","","","2004-11-24","2004","Presentada al Plenari del Consell Municipal de 24-11-2004. Citada a la Gaseta Municipal núm. 4 (10-02-2005)","Digitalitzada pel SEDAC","","application/pdf","3 p.","13288","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/86259","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciència. Desenvolupament urbà","Ciència i tecnologia","mesures de govern. documents digitalitzats","","Participació de l'Ajuntament de Barcelona en l'impuls i promoció de la bioregió catalana : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","2004. 2005. 2006. 2007. 2007","","2004-11-24","2004","Presentada al Plenari del Consell Municipal de 24-11-2004. Citada a la Gaseta Municipal núm. 4 (10-02-2005)","","","application/pdf","5 p.","13464","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84537","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciència. Política científica","Ciència i tecnologia","mesures de govern. documents digitalitzats","La Ciutat per la Ciència : Pla Estratègic 2004-2007 (Barcelona)","Ciutat per la Ciència : mesura de govern","","text",""
"","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí. Verneda i la Pau (Barcelona : Barri)","2017. 2018. 2019. 2020","","2017-05-10","2017-05-10","Presentat al Consell Plenari del Districte de Sant Martí de 10-05-2017","","","application/pdf","19 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/102319","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament econòmic. Ordenació del territori. Rehabilitació urbana. Política social. Política educativa. Equipaments col·lectius","Societat i benestar","mesures de govern","Pla de Barris 2016-2026 (Barcelona). Pla de Barris de Verneda i la Pau 2016-2020 (Barcelona)","Mesura de govern per al desenvolupament del Pla de Barris de la Verneda i la Pau","","text",""
"","Alcaldia. Sector de Serveis Generals","","Europa","","","1997-02-07","1997","Presentada al Plenari del Consell Municipal de 07-02-1997","","","application/pdf","3 p.","11290","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84445","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciutats","Urbanisme i infraestructures","mesures de govern","","Cimera europea de les regions i les ciutats : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria de Drets Civils","","Barcelona","","","1998-01-30","1998","Presentada al Plenari del Consell Municipal de 30-01-1998","","","application/pdf","1 p.","11321","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84466","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Gandhi, Mahatma","Societat i benestar","mesures de govern","","50 aniversari de la mort de Gandhi : mesura de govern","","text",""
"","Servei de Prevenció, Extinció d'Incendis i Salvament. Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2014. 2015. 2016. 2017. 2018. 2019. 2020. 2021. 2022. 2023. 2024. 2025","","2014-11-28","2014","Presentada al Plenari del Consell Municipal de 28-11-2014","","","application/pdf","71 p.","16897","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84741","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","mesures de govern","","Pla Director del SPEIS 2014-2025 : Servei de Prevenció, Extinció d'Incendis i Salvament : mesura de govern","","text",""
"","Districte 8. Nou Barris. Consell Plenari","","Barcelona","","","2017-11-28","2017-01-28","Mesura de govern per al desenvolupament del Pla de Barris contra les desigualtats a les Roquetes","","","application/pdf","28","","","","","","Mandat 2015-","http://hdl.handle.net/11703/106520","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","","mesures de govern","","Pla de Barris Roquetes","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","","","2012-03-22","2012","Presentada a la Comissió de Seguretat i Mobilitat de 22-03-2012. Citada a la Gaseta Municipal núm. 13 (30-04-2012)","","","application/pdf","","11144","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84742","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Programes d'acció positiva","Seguretat","mesures de govern","","Mesura de govern per a la creació de la Comissió d'igualtat per a la Dona a la Guàrdia Urbana (CID-GUB)","","text",""
"","Regidoria de Ciutat Sostenible. Sector de Manteniment i Serveis","","Barcelona","","","1996-05-17","1996","Presentada al Plenari del Consell Municipal de 17-05-1996","","","application/pdf","1 p.","11273","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/42966","cat","Ajuntament de Barcelona","","Reproducció digital del document en suport original","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Auditoria ambiental. Edificis municipals. Política ambiental","Medi ambient","mesures de govern","","Dia Mundial del Medi Ambient : mesures de govern","Auditories ambientals dels edificis municipals : mesures de govern","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Regidoria d'Adolescència i Joventut","","Barcelona","","","2014-11-21","2014","Presentada a la Comissió de Qualitat de Vida, Igualtat i Esports de 21-11-2014","","","application/pdf","34 p.","17583","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84777","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Associacionisme. Lleure","Societat i benestar","mesures de govern","Pla de Suport a les Associacions Juvenils d'Educació en el Temps Lliure de la Ciutat 2008-2011 (Barcelona)","Mesura de govern pel suport i el foment de l'associacionisme educatiu en el temps lliure de la ciutat","","text",""
"","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","2016. 2017. 2018","","2018-03-15","2018-03-16","Presentada al Consell Plenari del Districte de Ciutat Vella de 15-03-2018. Basat en el document Consell Escolar Municipal de Barcelona, Consell Educatiu de la Ciutat : mesura de govern [http://hdl.handle.net/11703/108006]. Fa referència al document Impuls al Projecte Educatiu de Ciutat per fer de Barcelona una capital de la innovació pedagògica: mesura de govern [http://hdl.handle.net/11703/88322]","","","application/pdf","16 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/108555","cat","","","","","","http://hdl.handle.net/11703/108006","","","","","","http://hdl.handle.net/11703/88322","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Escolar Municipal (Barcelona). Consell Educatiu Municipal del Districte (Barcelona). Política educativa","Sector públic. Educació","mesures de govern","Pla Educatiu d'Entorn del Raval 2005-2011 (Barcelona). Pla d'Educació de Ciutat Vella 2013-2018 (Barcelona)","Mesura de govern del Consell Escolar Municipal de Ciutat Vella, Consell Educatiu de Districte","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","","","2009-07-14","2009","Presentada a la Comissió d'Acció Social i Ciutadania del Consell Municipal de 14-07-2009. Citada a la Gaseta Municipal núm. 26 (10-10-2009)","","","application/pdf","13 p.","11086","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84574","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Observatori de Drets Humans de la ciutat de Barcelona. Drets humans","Societat i benestar","mesures de govern","","Observatori Drets Humans de Barcelona : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","","","1998-06-19","1998","Presentada al Plenari del Consell Municipal de 19-06-1998","","","application/pdf","2 p.","11353","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84471","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Transport urbà. Persones grans","Societat i benestar","mesures de govern","","Ampliació de la Targeta Rosa metropolitana : mesura de govern","","text",""
"","Àrea de Drets Socials","","Barcelona","","","2015-09-21","2015","Presentada a la Comissió de Drets Socials, Cultura i Esports de 21-09-2015","","","application/pdf","9 p.","19847","","","","","Mandat 2015-","http://hdl.handle.net/11703/86285","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge","Habitatge","mesures de govern","","Mesures urgents per fer front a l'emergència habitacional i garantir el dret a l'habitatge : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2012-04-17","2012","Presentada a la Comissió de Cultura, Coneixement, Creativitat i Innovació de 17-04-2012. Citada a la Gaseta Municipal núm. 16 (30-05-2012)","","","application/pdf","6 p.","10131","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84676","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura catalana. Equipaments culturals","Cultura i oci","mesures de govern","","Creació de la Xarxa d'Equipaments per la Cultura popular i tradicional les Cases de la Festa : mesura de govern","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","","","2012-05-25","2012","Presentada al Plenari del Consell Municipal de 25-05-2012. Citada a la Gaseta Municipal núm. 20 (10-07-2012)","","","application/pdf","4 p.","10262","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84725","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament econòmic","Economia","mesures de govern","","Candidatura de Barcelona per crear i ser la seu del Tribunal Arbitral de la Mediterrània : mesura de govern","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","","","2015-11-18","2015-11","Presentada a la Comissió d’Ecologia, Urbanisme i Mobilitat de 18-11-2015","","","application/pdf","25 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/84168","cat","","http://hdl.handle.net/11703/84122","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Silenci administratiu. Urbanisme","Sector públic","mesures de govern","","Proposta d’acord per a la redacció d’un protocol per evitar l’aprovació del planejament per “silenci administratiu"" : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2013-03-04","2013","Presentada a la Comissió de Cultura, Coneixement, Creativitat i Innovació de 04-03-2013. Citada a la Gaseta Municipal núm. 14 (30-04-2013)","","","application/pdf","11 p.","12957","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84688","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciutats. Cultura","Cultura i oci","mesures de govern","","Barcelona, capital de la cultura catalana : programa per reforçar la projecció de la capitalitat cultural de la ciutat. : mesura de govern","","text",""
"","Comissionat de Participació Ciutadana i Associacionisme. Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","","","2013-01-23","2013","Presentada al Plenari del Consell Municipal de 23-01-2013. Citada a la Gaseta Municipal núm. 10 (20-03-2013)","","","application/pdf","7 p.","10782","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84726","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Associacionisme. Participació ciutadana. Municipis","Societat i benestar","mesures de govern","","Dinamització del Registre Ciutadà : mesura de govern","","text",""
"","Comissionat d'Economia Cooperativa, Social i Solidària i Consum. Regidoria de Cicle de Vida, Feminismes i LGTBI. Àrea de Drets Socials","","Barcelona","2017. 2018. 2019. 2020","","2017-05-26","2017-05-17","Presentada al Plenari del Consell Municipal de 26-05-2017. Aquesta Mesura de Govern es vincula amb d’altres  polítiques  que  s’han  desenvolupat  en  el  marc  de  l’Ajuntament de Barcelona:. Pla per la Justícia de Gènere 2016-2020 [http://hdl.handle.net/11703/98743]. Estratègia contra la feminització de la pobresa i la precarietat a Barcelona 2016-2024 [http://hdl.handle.net/11703/99372]. Estratègia per l'Ocupació de Barcelona (EOB) 2016-2020 : mesura de govern [http://hdl.handle.net/11703/98275]. Pla d'impuls de l'economia social i solidària 2016-2019 [http://hdl.handle.net/11703/99396]. Referenciat per l'Informe de serveis socioeducatius per a la primera infància : anàlisi de models d'espais familiars [http://hdl.handle.net/11703/108124]","","","application/pdf","36 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/102432","cat","","","","","","http://hdl.handle.net/11703/98743. http://hdl.handle.net/11703/99372. http://hdl.handle.net/11703/98275. http://hdl.handle.net/11703/99396","","","http://hdl.handle.net/11703/108124","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política social. Cura de malalts. Cuidadors. Conciliació de la vida personal i laboral","Societat i benestar","mesures de govern. plans estratègics","Democratització de la cura 2017-2020 (Barcelona)","Mesura de govern per una democratització de la cura 2017-2020","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2012-10-16","2012","Presentada a la Comissió de Cultura, Coneixement, Creativitat i Innovació de 16-10-2012. Citada a la Gaseta Municipal núm. 35 (30-12-2012)","","","application/pdf","7 p.","9949","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84679","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Patrimoni cultural. Segells (Numismàtica)","Cultura i oci","mesures de govern","","Projecte de digitalització i d'accés en línia de la Col·lecció filatèlica Ramon Marull del Gabinet Postal : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria de Ciutat del Coneixement","","Barcelona","","","2001-10-29","2001","Presentada al Plenari del Consell Municipal de 20-07-2001. Citada a la Gaseta Municipal núm. 35 (20-12-2001)","","","application/pdf","4 p.","13138","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84504","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciència","Ciència i tecnologia","mesures de govern","","Ciència al carrer, per a l'impuls de la cultura científica i tecnològica : mesura de govern","","text",""
"","Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","2016. 2017. 2018. 2019","","2016-12","2016-12","Presentada al Consell Plenari del Districte de Gràcia de 21-12-2016","","","application/pdf","28 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/102295","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública","Sector públic","mesures de govern. plans estratègics","Programa d'Actuació del Districte de Gràcia (PAD) 2016-2019 (Barcelona)","Línies d'actuació al districte de Gràcia 2016-2019 : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Fundació BCN Formació Professional","","Barcelona","2012. 2013. 2014. 2015","","2012-12-21","2012","Presentada al Plenari del Consell Municipal de 21-12-2012. Citada a la Gaseta Municipal núm. 6 (10-02-2013)","","","application/pdf","13 p.","10788","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84680","cat","Ajuntament de Barcelona","","","","","","http://hdl.handle.net/11703/86344","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació. Formació professional","Educació","mesures de govern. plans estratègics","Pla Estratègic per a l'Enfortiment de l'FP 2012-2015 (Barcelona)","Estratègia de Barcelona per l'enfortiment de la FP i el Pla estratègic 2012-2015 : mesura de govern","","text",""
"","Àrea d'Hisenda i Promoció Econòmica","","Barcelona","","","2008-12-19","2008","Presentada al Plenari del Consell Municipal de 19-12-2008. Citada a la Gaseta Municipal núm.  6 (20-02-2009)","","","application/pdf","16 p.","10903","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84641","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política laboral. Contractes administratius","Ocupació","mesures de govern","","Mesura de govern per a la contractació responsable i nou impuls de la contractació social i ambiental","","text",""
"","Àrea d'Hisenda i Promoció Econòmica","","Barcelona","","","2010-05-28","2010","Presentada al Plenari del Consell Municipal de 28-05-208. Citada a la Gaseta Municipal núm. 28 (10-10-2010)","Digitalitzada pel SEDAC","","application/pdf","12 p.","13627","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86276","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament urbà. Màrqueting turístic. Màrqueting territorial. Imatge corporativa","Economia","mesures de govern. documents digitalitzats","Programa Marca Barcelona","Posicionament econòmic global de Barcelona a través de l'estratègia de desenvolupament i promoció de la marca Barcelona: mesura de govern","","text",""
"","Oficina Municipal de Dades. Comissió d'Economia i Hisenda (Consell Municipal de Barcelona)","","Barcelona","2018. 2019","","2018-02-14","2018","Presentada a la Comissió d'Economia i Hisenda de 14-02-2018. És base per la presentació Gestió ètica i responsable de dades : Barcelona Data Commons [http://hdl.handle.net/11703/108254]. Fa referència a la Mesura de govern per a la digitalització oberta : programari lliure i desenvolupament àgil de serveis a l'administració pública [http://hdl.handle.net/11703/106226]","","","application/pdf","34 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/108253","cat","","","","","","","http://hdl.handle.net/11703/108254","","","","","http://hdl.handle.net/11703/106226","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina Municipal de Dades. Dades obertes. Accés obert. Protecció de dades","Ciència i tecnologia. Sector públic","mesures de govern","Pla Barcelona Ciutat Digital 2017-2020","Mesura de govern de gestió ètica i responsable de dades : Barcelona Data Commons","Pla Digital de l'Ajuntament de Barcelona","text",""
"","Districte 9. Sant Andreu","","Barcelona. Districte 9. Sant Andreu","2014","","2014-05-06","2014-05-06","Presentada al Consell Plenari del Districte de Sant Andreu de 06-05-2014","","","application/pdf","4 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/98445","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà. Política turística","Turisme","mesures de govern. plans estratègics","Pla de Turisme del Districte de Sant Andreu 2013-2016 (Barcelona). Desconcentració Territorial de l'Activitat Turística 2013-2016 (Barcelona)","Pla de Turisme del Districte de Sant Andreu : mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","","","2012-03-20","2012","Presentada a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports de 20-03-2012. Citada a la Gaseta Municipal núm. 13 (30-04-2012)","","","application/pdf","20 p.","11100","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84763","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Joventut. Casals de joves","Societat i benestar","mesures de govern","","Ampliació de l'espai jove Garcilaso i formació i Formació Integral per a adolescents i joves : mesura de govern","","text",""
