"id","name","institution_id","institution_name","created","modified","addresses_roadtype_id","addresses_roadtype_name","addresses_road_id","addresses_road_name","addresses_start_street_number","addresses_end_street_number","addresses_neighborhood_id","addresses_neighborhood_name","addresses_district_id","addresses_district_name","addresses_zip_code","addresses_main_address","addresses_type","values_id","values_attribute_id","values_category","values_attribute_name","values_attribute_type","values_value","values_outstanding","values_description","secondary_filters_id","secondary_filters_name","secondary_filters_fullpath","secondary_filters_tree","secondary_filters_asia_id","geo_epgs_25831_x","geo_epgs_25831_y","geo_epgs_4326_x","geo_epgs_4326_y"
99400346142,"Pistes de Petanca Jardins Frida Kahlo",99329084824.0,"Jardins de Frida Kahlo","2014-06-30T12:20:00+02:00","2020-05-22T12:39:17+02:00","","",700830,"C Arquitecte Moragas",19.0,"",41,"la Vall d'Hebron",7,"Horta-Guinardó",8035,True,"","","","","","","","","",57732077,"Altres esports","Planol BCN >> Esports >> Esports individuals >> Altres esports",651,65103004001009,428770.2942453354,4587167.0939486725,41.4329136518488,2.1474523379756034
99133121652,"Piscina Coberta",92086037813.0,"Centre Esportiu Municipal Estació del Nord","1999-05-13T00:00:00+02:00","2020-06-22T17:12:23+02:00","","",225500,"C Nàpols",42.0,"",5,"el Fort Pienc",2,"Eixample",8018,True,"",203589.0,20001.0,"Telèfons","Tel.","char","932650286",True,"",57732077,"Altres esports","Planol BCN >> Esports >> Esports individuals >> Altres esports",651,65103004001009,431779.27993091295,4582781.0903296685,41.39367157911195,2.1839578397165678
99133121652,"Piscina Coberta",92086037813.0,"Centre Esportiu Municipal Estació del Nord","1999-05-13T00:00:00+02:00","2020-06-22T17:12:23+02:00","","",225500,"C Nàpols",42.0,"",5,"el Fort Pienc",2,"Eixample",8018,True,"",203589.0,20001.0,"Telèfons","Tel.","char","932650286",True,"",57732073,"Natació","Planol BCN >> Esports >> Esports individuals >> Natació",651,65103004001005,431779.27993091295,4582781.0903296685,41.39367157911195,2.1839578397165678
97206144412,"Taules Ping-Pong",92086012469.0,"Jardins de Montserrat","1997-07-25T00:00:00+02:00","2018-06-01T13:21:32+02:00","","",289105,"C Rosselló",63.0,"",9,"la Nova Esquerra de l'Eixample",2,"Eixample",8029,True,"","","","","","","","","",57732077,"Altres esports","Planol BCN >> Esports >> Esports individuals >> Altres esports",651,65103004001009,428574.3762652824,4581896.063303267,41.38542222450257,2.1457298000042595
97206144412,"Taules Ping-Pong",92086012469.0,"Jardins de Montserrat","1997-07-25T00:00:00+02:00","2018-06-01T13:21:32+02:00","","",289105,"C Rosselló",63.0,"",9,"la Nova Esquerra de l'Eixample",2,"Eixample",8029,True,"","","","","","","","","",57732075,"Tennis taula","Planol BCN >> Esports >> Esports individuals >> Tennis taula",651,65103004001007,428574.3762652824,4581896.063303267,41.38542222450257,2.1457298000042595
97206144412,"Taules Ping-Pong",92086012469.0,"Jardins de Montserrat","1997-07-25T00:00:00+02:00","2018-06-01T13:21:32+02:00","","",289105,"C Rosselló",63.0,"",9,"la Nova Esquerra de l'Eixample",2,"Eixample",8029,True,"","","","","","","","","",57733069,"Zones de joc","Planol BCN >> Esports >> Instal·lacions esportives >> Zones de joc",651,65103004002001,428574.3762652824,4581896.063303267,41.38542222450257,2.1457298000042595
97209125417,"Taules Ping-Pong",97209125302.0,"Parc de la Vall d'Hebron","1997-07-28T00:00:00+02:00","2001-08-16T00:00:00+02:00","","",172709,"Juan de Mena",2.0,"",41,"la Vall d'Hebron",7,"Horta-Guinardó",8032,True,"",198302.0,20042.0,"Telèfons","No tenen telèfon","char","",True,"",57732077,"Altres esports","Planol BCN >> Esports >> Esports individuals >> Altres esports",651,65103004001009,428847.085539423,4586980.769780192,41.431242318297365,2.1483932883821786
97209125417,"Taules Ping-Pong",97209125302.0,"Parc de la Vall d'Hebron","1997-07-28T00:00:00+02:00","2001-08-16T00:00:00+02:00","","",172709,"Juan de Mena",2.0,"",41,"la Vall d'Hebron",7,"Horta-Guinardó",8032,True,"",198302.0,20042.0,"Telèfons","No tenen telèfon","char","",True,"",57732075,"Tennis taula","Planol BCN >> Esports >> Esports individuals >> Tennis taula",651,65103004001007,428847.085539423,4586980.769780192,41.431242318297365,2.1483932883821786
97209125417,"Taules Ping-Pong",97209125302.0,"Parc de la Vall d'Hebron","1997-07-28T00:00:00+02:00","2001-08-16T00:00:00+02:00","","",172709,"Juan de Mena",2.0,"",41,"la Vall d'Hebron",7,"Horta-Guinardó",8032,True,"",198302.0,20042.0,"Telèfons","No tenen telèfon","char","",True,"",57733069,"Zones de joc","Planol BCN >> Esports >> Instal·lacions esportives >> Zones de joc",651,65103004002001,428847.085539423,4586980.769780192,41.431242318297365,2.1483932883821786
97209135049,"Taules Ping-Pong Pl. Sant Jordi","","","1997-07-28T00:00:00+02:00","2001-08-19T00:00:00+02:00","","",304300,"Pl Sant Jordi",9999.0,"",11,"el Poble-sec",3,"Sants-Montjuïc",8004,True,"",198306.0,20042.0,"Telèfons","No tenen telèfon","char","",True,"",57732077,"Altres esports","Planol BCN >> Esports >> Esports individuals >> Altres esports",651,65103004001009,428468.5717297448,4579845.9432933265,41.36694812492149,2.1447064197680485
