"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400075600,"Contenidor de Roba Amiga *Punt Verd Barri Horta - Guinardó","#","C","Mas Casanovas",76,76,35,"el Guinardó",7,"Horta-Guinardó",8041,19,"BARCELONA",41.414541,2.172724,430862.282,4585106.903,430954.218,4585307.866,690662352.0,"Tel.","","","","","","","","Punt de roba amiga","Medi ambient","Medi ambient",""
99400075600,"Contenidor de Roba Amiga *Punt Verd Barri Horta - Guinardó","#","C","Mas Casanovas",76,76,35,"el Guinardó",7,"Horta-Guinardó",8041,19,"BARCELONA",41.414541,2.172724,430862.282,4585106.903,430954.218,4585307.866,690662352.0,"Tel.","","","","","","","","","Punt de roba amiga","Medi ambient",""
99400075165,"Contenidor de Roba Amiga *Jardins Mercè Plantada","#","C","Àlaba",49,49,67,"la Vila Olímpica del Poblenou",10,"Sant Martí",8005,19,"BARCELONA",41.395308,2.195359,432734.13,4582953.81,432826.083,4583154.754,"","","","","","","","","","","Punt de roba amiga","Medi ambient",""
99400075165,"Contenidor de Roba Amiga *Jardins Mercè Plantada","#","C","Àlaba",49,49,67,"la Vila Olímpica del Poblenou",10,"Sant Martí",8005,19,"BARCELONA",41.395308,2.195359,432734.13,4582953.81,432826.083,4583154.754,"","","","","","","","","","Punt de roba amiga","Medi ambient","Medi ambient",""
99400075166,"Contenidor Roba Amiga * Equipament El Sortidor","#","Pl","Sortidor",12,12,11,"el Poble-sec",3,"Sants-Montjuïc",8004,19,"BARCELONA",41.372098,2.162556,429966.951,4580403.09,430058.88,4580604.009,"","","","","","","","","","Punt de roba amiga","Medi ambient","Medi ambient",""
99400075166,"Contenidor Roba Amiga * Equipament El Sortidor","#","Pl","Sortidor",12,12,11,"el Poble-sec",3,"Sants-Montjuïc",8004,19,"BARCELONA",41.372098,2.162556,429966.951,4580403.09,430058.88,4580604.009,"","","","","","","","","","","Punt de roba amiga","Medi ambient",""
99400075168,"Contenidor Roba Amiga *Parc Diagonal Mar","#","C","Llull",362,362,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",8019,19,"BARCELONA",41.40933,2.213363,434253.32399999996,4584496.712,434345.291,4584697.67,"","","","","","","","","","","Punt de roba amiga","Medi ambient",""
99400075168,"Contenidor Roba Amiga *Parc Diagonal Mar","#","C","Llull",362,362,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",8019,19,"BARCELONA",41.40933,2.213363,434253.32399999996,4584496.712,434345.291,4584697.67,"","","","","","","","","","Punt de roba amiga","Medi ambient","Medi ambient",""
99400075170,"Contenidor Roba Amiga * Institut Municipal d'Educació","#","Pl","Espanya",5,5,15,"Hostafrancs",3,"Sants-Montjuïc",8014,19,"BARCELONA",41.374995,2.148139,428764.42,4580736.482,428856.33700000006,4580937.404,"","","","","","","","","","Punt de roba amiga","Medi ambient","Medi ambient",""
99400075170,"Contenidor Roba Amiga * Institut Municipal d'Educació","#","Pl","Espanya",5,5,15,"Hostafrancs",3,"Sants-Montjuïc",8014,19,"BARCELONA",41.374995,2.148139,428764.42,4580736.482,428856.33700000006,4580937.404,"","","","","","","","","","","Punt de roba amiga","Medi ambient",""
99400075175,"Contenidor Roba Amiga *Centre Cívic Sarria","#","C","Eduardo Conde",22,42,23,"Sarrià",5,"Sarrià-Sant Gervasi",8034,19,"BARCELONA",41.393906,2.121195,426532.56799999997,4582858.411,426624.464,4583059.352,"","","","","","","","","","Punt de roba amiga","Medi ambient","Medi ambient",""
