"Dte","Barris","201110","201009","200908","200807","Unnamed: 6","Unnamed: 7","Unnamed: 8"
1.0,"1. el Raval","-4,5","-3,8","-9,1","-9,3","","",""
1.0,"2. el Barri Gòtic","10,2","0,3","-8,5","-6,0","","",""
1.0,"3. la Barceloneta","-4,9","12,7","-12,9","-13,0","","",""
1.0,"4. Sant Pere, Santa Caterina i la Ribera","3,8","2,0","-6,1","-7,3","","",""
2.0,"5. el Fort Pienc","-8,7","-4,9","-5,4","-5,5","","",""
2.0,"6. la Sagrada Família","-3,3","-0,3","-11,3","-7,9","","",""
2.0,"7. la Dreta de l'Eixample","14,9","3,2","1,1","-5,7","","",""
2.0,"8. l'Antiga Esquerra de l'Eixample","-2,6","0,9","-4,5","-9,9","","",""
2.0,"9. la Nova Esquerra de l'Eixample","-10,0","5,1","-9,6","-4,7","","",""
2.0,"10. Sant Antoni","-3,8","-11,3","-6,1","-6,3","","",""
3.0,"11. el Poble Sec - Parc Montjuïc","-3,5","-1,0","-14,0","-9,3","","",""
3.0,"12. la Marina del Prat Vermell - Zona Franca","--","--","--","--","","",""
3.0,"13. la Marina de Port","-5,9","-6,6","-5,0","-11,2","","",""
3.0,"14. la Font de la Guatlla","-6,6","-8,8","-3,0","-11,3","","",""
3.0,"15. Hostafrancs","-4,9","-5,4","-10,8","-10,0","","",""
3.0,"16. la Bordeta","-11,9","0,0","-12,3","-9,7","","",""
3.0,"17. Sants - Badal","-8,0","-4,2","-8,5","-10,5","","",""
3.0,"18. Sants","2,5","-6,5","-8,8","-9,3","","",""
4.0,"19. les Corts","-4,3","7,4","-9,5","3,5","","",""
4.0,"20. la Maternitat i Sant Ramon","-7,3","-4,0","-9,2","3,1","","",""
4.0,"21. Pedralbes","46,1","7,5","-4,4","0,1","","",""
5.0,"22. Vallvidrera, el Tibidabo i les Planes","2,8","-2,8","2,3","26,0","","",""
5.0,"23. Sarrià","0,3","8,8","0,4","-2,7","","",""
5.0,"24. les Tres Torres","-1,9","2,1","-2,4","0,9","","",""
5.0,"25. Sant Gervasi - la Bonanova","5,3","8,6","-0,8","-5,0","","",""
5.0,"26. Sant Gervasi - Galvany","-0,2","3,4","-1,1","0,6","","",""
5.0,"27. el Putxet i el Farró","-5,5","4,6","-4,2","-3,7","","",""
6.0,"28. Vallcarca i els Penitents","33,9","-5,9","-6,9","-2,1","","",""
6.0,"29. el Coll","-9,0","0,4","-1,7","-7,8","","",""
6.0,"30. la Salut","7,8","-0,3","-3,9","-9,4","","",""
6.0,"31. la Vila de Gràcia","11,9","-2,2","-4,0","-6,1","","",""
6.0,"32. el Camp d'en Grassot i Gràcia Nova","-5,0","-1,2","-3,8","-10,6","","",""
7.0,"33. el Baix Guinardó","-5,7","1,2","-9,0","-3,6","","",""
7.0,"34. Can Baró","-4,4","-9,7","-9,7","1,7","","",""
7.0,"35. el Guinardó","1,4","-6,5","-8,8","-5,5","","",""
7.0,"36. la Font d'en Fargues","23,4","-2,2","-7,8","-2,8","","",""
7.0,"37. el Carmel","-6,1","-4,1","-11,6","-7,7","","",""
7.0,"38. la Teixonera","0,9","-4,6","-9,4","-3,8","","",""
7.0,"39. Sant Genís dels Agudells","7,3","0,1","-12,0","-4,2","","",""
7.0,"40. Montbau","-7,6","-0,6","-14,7","-8,7","","",""
7.0,"41. la Vall d'Hebron","-0,9","2,4","0,4","-6,5","","",""
7.0,"42. la Clota","--","--","--","--","","",""
7.0,"43. Horta","7,4","-5,8","-8,6","-5,9","","",""
8.0,"44. Vilapicina i la Torre Llobeta","-2,9","-5,0","-10,4","-11,2","","",""
8.0,"45. Porta","-8,4","-3,8","-12,3","-7,6","","",""
8.0,"46. el Turó de la Peira","-13,7","-3,3","-13,2","-10,4","","",""
8.0,"47. Can Peguera","--","--","--","--","","",""
8.0,"48. la Guineueta","-5,0","-8,5","-11,4","-2,5","","",""
8.0,"49. Canyelles","-6,5","1,2","-12,4","-10,9","","",""
8.0,"50. les Roquetes","-10,2","-6,5","-13,6","-11,2","","",""
8.0,"51. Verdun","-1,3","-2,6","-12,4","-11,0","","",""
8.0,"52. la Prosperitat","-4,7","-5,8","-12,9","-9,5","","",""
8.0,"53. la Trinitat Nova","-12,7","-14,8","-8,5","-14,5","","",""
8.0,"54. Torre Baró","15,2","-16,5","-7,2","7,1","","",""
